probandId;condition;beeId;result;startTime;endTime
13;6;0; 1; 14:07:43.795; 14:07:47.892
13;6;1; 1; 14:07:47.848; 14:07:52.291
13;6;2; 1; 14:07:51.656; 14:07:55.855
13;6;3; 1; 14:07:55.276; 14:07:58.435
13;6;4; 1; 14:07:58.715; 14:08:01.852
13;6;5; 1; 14:08:01.976; 14:08:06.332
13;6;6; 1; 14:08:04.925; 14:08:09.113
13;6;7; 1; 14:08:07.729; 14:08:12.196
13;6;8; 1; 14:08:10.532; 14:08:14.474
13;6;9; 1; 14:08:13.191; 14:08:17.311
13;6;10; 1; 14:08:15.716; 14:08:20.093
13;6;11; 2; 14:08:18.116; 14:08:22.214
13;6;12; 1; 14:08:20.395; 14:08:23.611
13;6;13; 1; 14:08:22.561; 14:08:26.772
13;6;14; 2; 14:08:24.729; 14:08:29.193
13;6;15; 1; 14:08:26.784; 14:08:30.717
13;6;16; 2; 14:08:28.739; 14:08:32.949
13;6;17; 2; 14:08:30.694; 14:08:35.328
13;6;18; 1; 14:08:32.547; 14:08:35.809
13;6;19; 1; 14:08:34.313; 14:08:38.489
13;6;20; 1; 14:08:36.078; 14:08:40.488
13;6;21; 2; 14:08:37.753; 14:08:41.807
13;6;22; 1; 14:08:39.429; 14:08:43.672
13;6;23; 2; 14:08:41.025; 14:08:45.514
13;6;24; 1; 14:08:42.545; 14:08:46.554
13;6;25; 2; 14:08:44.063; 14:08:47.369
13;6;26; 1; 14:08:45.504; 14:08:48.676
13;6;27; 1; 14:08:46.946; 14:08:50.151
13;6;28; 1; 14:08:48.308; 14:08:52.474
13;6;29; 1; 14:08:49.671; 14:08:54.127
13;6;30; 2; 14:08:51.034; 14:08:55.087
13;6;31; 1; 14:08:52.330; 14:08:56.528
13;6;32; 1; 14:08:53.625; 14:08:58.048
13;6;33; 2; 14:08:54.854; 14:08:58.974
13;6;34; 1; 14:08:56.094; 14:08:59.410
13;6;35; 2; 14:08:57.267; 14:09:01.588
13;6;36; 1; 14:08:58.439; 14:09:02.906
13;6;37; 2; 14:08:59.613; 14:09:03.108
13;6;38; 2; 14:09:00.729; 14:09:05.028
13;6;40; 2; 14:09:02.963; 14:09:06.190
13;6;39; 1; 14:09:01.846; 14:09:06.312
13;6;42; 2; 14:09:05.085; 14:09:08.391
13;6;41; 1; 14:09:04.024; 14:09:08.536
13;6;43; 1; 14:09:06.091; 14:09:10.355
13;6;44; 2; 14:09:07.096; 14:09:11.552
13;6;45; 1; 14:09:08.101; 14:09:12.211
13;6;46; 2; 14:09:09.062; 14:09:12.410
13;6;47; 1; 14:09:10.022; 14:09:14.389
13;6;48; 2; 14:09:10.983; 14:09:15.494
13;6;49; 1; 14:09:11.944; 14:09:16.031
13;6;50; 1; 14:09:12.904; 14:09:16.232
13;6;51; 1; 14:09:13.865; 14:09:17.894
13;6;52; 1; 14:09:14.825; 14:09:18.028
13;6;53; 1; 14:09:15.786; 14:09:19.806
13;6;54; 1; 14:09:16.747; 14:09:21.235
13;6;56; 2; 14:09:18.668; 14:09:22.029
13;6;55; 1; 14:09:17.707; 14:09:22.080
13;6;57; 2; 14:09:19.628; 14:09:24.050
13;6;58; 1; 14:09:20.589; 14:09:24.733
13;6;59; 1; 14:09:21.549; 14:09:25.714
13;6;60; 2; 14:09:22.510; 14:09:26.977
13;6;61; 1; 14:09:23.470; 14:09:27.692
13;6;62; 1; 14:09:24.427; 14:09:27.826
13;6;63; 2; 14:09:25.380; 14:09:29.512
13;6;65; 1; 14:09:27.301; 14:09:30.630
13;6;64; 1; 14:09:26.341; 14:09:30.808
13;6;66; 2; 14:09:28.262; 14:09:32.695
13;6;67; 2; 14:09:29.223; 14:09:33.411
13;6;68; 1; 14:09:30.183; 14:09:33.555
13;6;69; 2; 14:09:31.144; 14:09:35.487
13;6;70; 1; 14:09:32.105; 14:09:36.192
13;6;71; 1; 14:09:33.065; 14:09:36.370
13;6;72; 1; 14:09:34.026; 14:09:38.312
13;6;73; 1; 14:09:34.987; 14:09:39.453
13;6;74; 2; 14:09:35.947; 14:09:40.034
13;6;75; 2; 14:09:36.908; 14:09:40.213
13;6;76; 1; 14:09:37.868; 14:09:41.128
13;6;77; 1; 14:09:38.829; 14:09:42.894
13;6;78; 2; 14:09:39.789; 14:09:44.255
13;6;79; 2; 14:09:40.750; 14:09:45.307
13;6;80; 1; 14:09:41.711; 14:09:45.751
13;6;81; 1; 14:09:42.671; 14:09:46.008
13;6;82; 1; 14:09:43.632; 14:09:47.887
13;6;83; 1; 14:09:44.593; 14:09:49.048
13;6;84; 2; 14:09:45.553; 14:09:49.673
13;6;85; 2; 14:09:46.514; 14:09:49.796
13;6;86; 1; 14:09:47.475; 14:09:51.729
13;6;87; 2; 14:09:48.434; 14:09:52.912
13;6;88; 1; 14:09:49.395; 14:09:53.491
13;6;89; 1; 14:09:50.356; 14:09:53.748
13;6;90; 2; 14:09:51.317; 14:09:55.672
13;6;91; 1; 14:09:52.278; 14:09:56.688
13;6;92; 2; 14:09:53.237; 14:09:57.336
13;6;93; 1; 14:09:54.198; 14:09:57.547
13;6;94; 1; 14:09:55.159; 14:09:58.451
13;6;95; 1; 14:09:56.119; 14:10:00.129
13;6;96; 1; 14:09:57.079; 14:10:01.246
13;6;97; 1; 14:09:58.041; 14:10:02.474
13;6;98; 1; 14:09:59.001; 14:10:03.155
13;6;99; 1; 14:09:59.962; 14:10:04.328
