"probandId","condition","beeId","result","startTime","endTime"
1,1,0,1," 13:13:41.741"," 13:13:45.851"
1,1,1,1," 13:13:45.795"," 13:13:50.151"
1,1,2,1," 13:13:49.603"," 13:13:53.714"
1,1,3,1," 13:13:53.224"," 13:13:56.395"
1,1,4,1," 13:13:56.662"," 13:13:59.857"
1,1,5,1," 13:13:59.925"," 13:14:03.911"
1,1,6,2," 13:14:02.874"," 13:14:07.268"
1,1,7,2," 13:14:05.677"," 13:14:09.932"
1,1,8,1," 13:14:08.480"," 13:14:11.675"
1,1,9,1," 13:14:11.138"," 13:14:14.333"
1,1,10,1," 13:14:13.665"," 13:14:17.595"
1,1,11,1," 13:14:16.065"," 13:14:20.376"
1,1,12,1," 13:14:18.344"," 13:14:22.408"
1,1,13,1," 13:14:20.511"," 13:14:23.794"
1,1,14,1," 13:14:22.678"," 13:14:25.871"
1,1,15,1," 13:14:24.734"," 13:14:28.596"
1,1,16,1," 13:14:26.687"," 13:14:31.131"
1,1,17,1," 13:14:28.642"," 13:14:32.797"
1,1,18,1," 13:14:30.497"," 13:14:33.735"
1,1,19,1," 13:14:32.262"," 13:14:35.432"
1,1,20,1," 13:14:34.026"," 13:14:38.069"
1,1,21,1," 13:14:35.702"," 13:14:40.034"
1,1,22,2," 13:14:37.376"," 13:14:41.677"
1,1,23,1," 13:14:38.975"," 13:14:42.234"
1,1,24,1," 13:14:40.572"," 13:14:43.710"
1,1,25,2," 13:14:42.169"," 13:14:46.256"
1,1,26,1," 13:14:43.766"," 13:14:48.032"
1,1,27,2," 13:14:45.363"," 13:14:49.729"
1,1,28,1," 13:14:46.960"," 13:14:50.233"
1,1,29,1," 13:14:48.558"," 13:14:51.573"
1,1,30,1," 13:14:50.156"," 13:14:53.829"
1,1,31,1," 13:14:51.752"," 13:14:56.174"
1,1,32,2," 13:14:53.350"," 13:14:57.715"
1,1,33,1," 13:14:54.947"," 13:14:58.253"
1,1,34,1," 13:14:56.543"," 13:14:59.615"
1,1,35,1," 13:14:58.141"," 13:15:01.794"
