"Timestamp","Proband ID","Condition","IPQ_01 In the computer generated world I had a sense of ""being there”","IPQ_02 Somehow I felt that the virtual world surrounded me","IPQ_03 I felt like I was just perceiving pictures.","IPQ_04 I did not feel present in the virtual space.","IPQ_05 I had a sense of acting in the virtual space, rather than operating something from outside.","IPQ_06 I felt present in the virtual space.","IPQ_07 How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?","IPQ_08 I was not aware of my real environment.","IPQ_09 I still paid attention to the real environment.","IPQ_10 I was completely captivated by the virtual world.","IPQ_11 How real did the virtual world seem to you?","IPQ_12 How much did your experience in the virtual environment seem consistent with your real world experience?","IPQ_13 How real did the virtual world seem to you?","IPQ_14 The virtual world seemed more realistic than the real world.","EQ_01 I felt as if the virtual body was my body","EQ_02 It felt as if the virtual body I saw was someone else","EQ_03 It seemed as if I might have more than one body","EQ_04 It felt like I could control the virtual body as if it was my own body","EQ_05 The movements of the virtual body were caused by my movements","EQ_06 I felt as if the movements of the virtual body were influencing my own movements","EQ_07 I felt as if the virtual body was moving by itself","EQ_08 I felt as if my body was located where I saw the virtual body","EQ_09 I felt out of my body","EQ_10 I felt as if my real body was drifting toward the virtual body or as if the virtual body was drifting toward my real body","Did you, at any time during the experiment, feel nauseous or motion sick? ","Do you have any further remarks regarding the system, the qualtiy of the system or the quality of the virutal reality?"
"2020/01/22 11:26:15 AM GMT+1","111","Lauf 1","3","3","5","4","4","7","6","4","4","5","7","4","5","4","5","3","5","3","2","6","1","3","6","3","",""
"2020/01/24 8:34:56 AM GMT+1","1","2","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","",""
"2020/01/28 1:19:25 PM GMT+1","1","1","7","7","2","6","6","6","7","7","1","7","2","5","3","3","6","1","2","7","6","2","2","7","2","4","No","no"
"2020/01/28 1:19:35 PM GMT+1","1","1","7","7","2","6","6","6","7","7","1","7","2","5","3","3","6","1","2","7","6","2","2","7","2","4","No","no"
"2020/01/28 1:24:45 PM GMT+1","1","4","7","7","1","6","7","7","7","7","1","7","2","6","4","3","7","2","2","6","6","2","2","7","2","4","No","no"
"2020/01/28 1:30:40 PM GMT+1","1","6","7","7","1","7","7","7","7","7","1","7","2","6","4","3","6","2","2","6","7","2","2","6","1","4","No","no"
"2020/01/28 1:36:10 PM GMT+1","1","5","7","7","1","7","6","7","7","7","1","7","2","6","4","3","6","1","1","6","7","2","1","7","1","4","No","no"
"2020/01/28 1:40:59 PM GMT+1","1","2","7","7","1","7","7","7","7","7","1","7","2","6","4","3","6","2","1","6","7","2","1","7","1","4","No","no"
"2020/01/28 1:46:13 PM GMT+1","1","3","7","7","1","7","7","7","7","7","1","7","2","7","4","3","6","2","1","7","7","2","2","7","2","4","No","no"
"2020/01/28 2:03:38 PM GMT+1","2","5","6","5","2","5","6","6","3","6","2","4","2","5","5","3","6","3","2","6","7","2","2","6","2","2","No","Mein Schuh hat meine MLG Ergebnisse versaut"
"2020/01/28 2:08:53 PM GMT+1","2","2","6","6","2","2","6","7","2","2","2","6","2","7","5","3","6","2","2","6","7","2","2","6","2","5","No",""
"2020/01/28 2:14:01 PM GMT+1","2","4","6","6","2","2","7","6","4","2","2","6","2","6","6","6","7","2","2","7","7","4","2","7","2","2","","360 noscope iz da"
"2020/01/28 2:18:28 PM GMT+1","2","3","7","6","2","2","6","7","6","6","2","6","2","6","5","3","6","2","1","7","7","2","2","7","2","2","No",""
"2020/01/28 2:23:30 PM GMT+1","2","1","7","6","2","2","6","7","5","2","7","6","6","7","6","5","6","2","2","7","7","6","2","6","2","3","No",""
"2020/01/28 2:27:45 PM GMT+1","2","6","4","5","3","4","5","5","5","3","4","5","5","5","5","5","5","4","4","4","5","4","5","3","4","3","No",""
"2020/01/28 2:48:08 PM GMT+1","3","6","7","7","1","7","7","7","3","2","3","7","2","7","6","4","6","2","2","7","7","4","2","7","1","5","No",""
"2020/01/28 2:57:59 PM GMT+1","3","3","6","7","1","1","7","7","2","2","5","7","2","5","5","2","6","4","1","7","7","5","2","7","2","1","No",""
"2020/01/28 3:05:37 PM GMT+1","3","2","7","7","1","1","6","7","4","2","5","7","6","5","5","1","7","3","3","6","7","6","2","7","3","4","No",""
"2020/01/28 3:12:11 PM GMT+1","3","4","7","7","1","7","5","7","3","2","6","7","2","5","5","1","7","2","4","5","7","6","3","7","2","4","No",""
"2020/01/28 3:17:40 PM GMT+1","3","5","7","7","1","7","6","7","4","2","5","7","2","4","5","2","7","2","2","2","7","6","3","6","1","4","No",""
"2020/01/28 3:23:45 PM GMT+1","3","1","7","1","1","7","7","7","5","3","5","7","3","7","5","2","7","1","1","7","7","5","2","7","1","4","No",""
"2020/01/28 3:36:32 PM GMT+1","4","2","6","6","3","3","6","6","5","5","5","6","3","4","2","4","5","2","2","2","3","3","4","6","5","3","No",""
"2020/01/28 3:43:45 PM GMT+1","4","5","3","7","5","4","2","3","3","6","2","3","2","4","2","1","5","5","1","5","4","5","6","4","5","5","Yes",""
"2020/01/28 3:50:11 PM GMT+1","4","1","7","7","2","6","6","6","5","6","2","7","5","5","5","3","6","2","1","7","7","7","2","7","2","2","No",""
"2020/01/28 3:56:05 PM GMT+1","4","6","5","6","2","5","6","6","6","6","2","6","6","2","2","1","3","3","2","2","2","5","5","3","3","4","No",""
"2020/01/28 4:02:01 PM GMT+1","4","4","7","6","2","5","7","6","6","6","2","7","5","6","3","2","6","1","2","7","7","5","2","7","1","1","No",""
"2020/01/28 4:07:27 PM GMT+1","4","3","6","7","2","4","6","7","6","3","5","7","5","6","3","3","5","2","2","5","5","5","2","6","2","2","No",""
"2020/01/28 4:15:36 PM GMT+1","5","3","6","6","2","6","5","6","6","7","2","7","6","6","3","2","6","4","2","6","6","6","2","6","2","6","No",""
"2020/01/28 4:20:41 PM GMT+1","5","6","2","6","3","4","5","5","2","3","2","4","4","5","4","2","2","4","2","4","6","5","1","4","2","2","No",""
"2020/01/28 4:25:43 PM GMT+1","5","5","6","6","1","2","6","5","7","6","1","5","6","4","4","3","6","2","4","6","6","6","2","6","2","2","No",""
"2020/01/28 4:31:05 PM GMT+1","5","1","6","6","2","6","7","6","6","6","2","6","2","6","7","3","6","2","2","6","6","6","2","6","2","6","No",""
"2020/01/28 4:36:59 PM GMT+1","5","2","6","6","5","6","6","6","6","6","2","6","5","6","3","3","6","2","2","7","6","7","1","7","2","6","No",""
"2020/01/28 4:42:31 PM GMT+1","5","4","6","6","3","7","6","6","6","6","2","6","4","6","2","2","7","2","3","7","7","6","2","6","2","7","No",""
"2020/01/28 5:04:01 PM GMT+1","6","4","6","2","2","2","6","6","7","6","1","6","2","6","6","6","6","1","1","7","7","2","2","7","1","6","No",""
"2020/01/28 5:11:12 PM GMT+1","6","1","7","7","2","1","6","7","3","6","3","5","5","6","5","7","7","1","2","6","7","2","2","6","6","6","No",""
"2020/01/28 5:18:57 PM GMT+1","6","3","7","7","2","7","7","7","7","7","1","7","1","7","7","6","7","1","1","7","7","5","1","7","1","6","No",""
"2020/01/28 5:25:55 PM GMT+1","6","2","7","7","2","1","6","7","4","7","6","7","2","6","6","4","6","2","2","7","7","5","2","7","5","6","No",""
"2020/01/28 5:32:05 PM GMT+1","6","6","7","7","1","2","6","7","6","6","2","6","2","5","7","7","7","1","2","7","7","6","2","7","3","6","No",""
"2020/01/28 5:38:19 PM GMT+1","6","5","7","7","2","7","6","7","5","4","4","7","2","6","7","6","7","1","2","7","7","6","2","7","4","7","No",""
"2020/01/28 6:12:00 PM GMT+1","7","1","7","6","2","5","6","6","6","6","2","6","5","6","1","2","5","2","2","5","5","5","4","4","5","5","No",""
"2020/01/28 6:20:21 PM GMT+1","7","4","5","3","2","5","5","5","6","6","2","5","5","5","2","1","5","4","3","4","5","6","3","5","5","5","No",""
"2020/01/28 6:27:10 PM GMT+1","7","6","3","5","2","5","5","5","5","5","2","5","5","4","2","1","3","5","2","3","4","5","5","3","5","5","No",""
"2020/01/28 6:36:34 PM GMT+1","7","5","5","5","1","5","3","5","3","4","4","4","5","4","2","1","3","5","5","3","3","5","6","2","5","6","No",""
"2020/01/28 6:44:02 PM GMT+1","7","2","6","5","2","6","6","6","5","3","2","5","5","6","2","2","6","6","2","6","5","6","3","3","3","6","No",""
"2020/01/28 6:50:56 PM GMT+1","7","3","6","6","2","5","6","5","6","6","6","6","6","5","1","2","5","2","2","5","5","6","2","5","2","6","No",""
"2020/01/28 7:06:26 PM GMT+1","8","5","3","7","1","6","7","4","6","6","2","5","6","3","1","1","3","1","2","6","7","2","1","3","2","4","Yes",""
"2020/01/28 7:13:41 PM GMT+1","8","2","5","5","2","5","6","6","5","6","2","6","7","2","1","1","3","2","2","5","7","2","2","4","2","4","Yes",""
"2020/01/28 7:19:54 PM GMT+1","8","4","6","6","2","6","6","6","6","6","2","6","2","2","1","2","3","2","2","6","7","2","1","2","2","1","Yes",""
"2020/01/28 7:25:49 PM GMT+1","8","3","7","7","3","6","6","7","6","6","2","6","5","5","1","1","5","1","2","5","7","1","1","7","2","2","No",""
"2020/01/28 7:32:57 PM GMT+1","8","1","7","7","2","6","6","6","6","6","2","6","7","2","1","2","5","2","2","6","7","2","2","6","2","2","No",""
"2020/01/28 7:40:02 PM GMT+1","8","6","7","7","6","7","6","7","6","6","2","7","6","3","1","1","5","1","2","5","5","1","2","5","2","2","No",""
"2020/01/28 8:01:45 PM GMT+1","10","2","2","6","1","1","4","6","7","7","1","7","1","6","6","4","7","1","1","7","7","6","1","7","1","1","No",""
"2020/01/28 8:07:10 PM GMT+1","10","5","7","7","7","7","7","7","7","1","7","7","1","7","7","5","7","1","1","7","7","4","7","1","1","6","No",""
"2020/01/28 8:12:00 PM GMT+1","10","1","7","7","1","7","7","7","6","7","1","7","1","7","7","6","7","1","1","7","7","7","1","7","2","4","No",""
"2020/01/28 8:16:52 PM GMT+1","10","6","5","5","1","6","7","5","4","7","1","7","4","5","7","5","7","1","1","7","7","7","7","7","1","1","No",""
"2020/01/28 8:20:53 PM GMT+1","10","3","7","7","1","7","7","7","7","7","1","7","1","7","7","7","7","1","1","7","7","7","1","7","1","4","No",""
"2020/01/28 8:30:55 PM GMT+1","10","3","4","6","6","6","5","6","3","6","5","4","3","7","5","5","5","4","5","6","5","7","4","6","3","5","No",""
"2020/01/28 8:41:53 PM GMT+1","9","6","6","6","2","2","6","6","6","4","3","6","2","6","7","2","4","3","2","6","2","3","3","5","2","4","No",""
"2020/01/28 8:48:56 PM GMT+1","9","3","7","6","2","6","6","6","5","5","3","6","3","6","5","3","5","3","2","6","5","3","1","5","2","2","No",""
"2020/01/28 8:54:26 PM GMT+1","9","2","6","6","1","6","6","6","5","3","2","6","2","6","5","2","7","2","1","7","7","7","1","6","1","4","No",""
"2020/01/28 9:00:42 PM GMT+1","9","4","6","6","1","6","6","6","5","6","3","6","3","6","6","2","6","2","1","5","6","2","2","5","2","4","No",""
"2020/01/28 9:06:18 PM GMT+1","9","5","6","6","1","5","5","6","5","6","3","5","3","4","4","2","4","2","4","4","4","6","5","3","5","4","",""
"2020/01/28 9:12:38 PM GMT+1","9","1","6","6","1","7","6","6","6","6","2","6","1","6","6","2","7","1","1","6","7","7","1","7","1","4","No",""
"2020/01/28 9:25:58 PM GMT+1","11","3","6","7","2","6","3","5","2","2","2","6","3","3","3","2","6","1","1","7","7","6","2","7","1","1","No",""
"2020/01/28 9:32:00 PM GMT+1","11","6","4","5","3","6","5","6","5","6","2","6","3","3","3","3","3","3","2","3","5","2","6","2","3","2","No",""
"2020/01/28 9:39:19 PM GMT+1","11","5","5","6","4","5","6","6","3","6","2","5","3","5","4","2","1","3","3","2","2","2","3","1","4","2","No",""
"2020/01/28 9:45:02 PM GMT+1","11","1","6","6","5","6","6","6","5","2","2","6","2","6","4","2","7","1","1","7","7","7","1","7","1","1","No",""
"2020/01/28 9:59:58 PM GMT+1","11","4","5","5","2","5","6","5","5","5","3","5","4","4","4","5","5","3","4","3","3","3","3","5","4","3","No",""
