0, 1, 0
0, 2, 3,54
1, 1, 4,01047
1, 2, 7,74
2, 1, 7,811953
3, 1, 11,43152
2, 3, 12,2
4, 1, 14,86247
3, 3, 15,82
5, 1, 18,13017
4, 2, 18,58
6, 1, 21,07588
5, 2, 21,7
7, 1, 23,8735
6, 2, 24,8
8, 1, 26,6836
7, 3, 28,26
9, 1, 29,35327
8, 3, 31,08
10, 1, 31,8891
9, 2, 33,08
11, 1, 34,30049
10, 2, 35,46
12, 1, 36,58538
11, 2, 38,02
13, 1, 38,75287
14, 1, 40,91943
12, 3, 40,96
15, 1, 42,98462
13, 3, 43,12
14, 2, 44,64
16, 1, 44,93654
15, 2, 46,54
17, 1, 46,88744
16, 2, 48,66
18, 1, 48,75462
19, 1, 50,51731
17, 3, 51,26
20, 1, 52,28347
18, 3, 53,16
21, 1, 53,96354
19, 2, 54,26
22, 1, 55,64771
20, 2, 55,84
23, 1, 57,24722
21, 2, 57,68
24, 1, 58,84481
22, 3, 60,04
25, 1, 60,44203
23, 3, 61,62
26, 1, 62,04121
24, 2, 62,58
27, 1, 63,63963
25, 2, 64
28, 1, 65,24189
26, 2, 65,78
29, 1, 66,83939
27, 3, 68,02
30, 1, 68,43326
28, 3, 69,62
31, 1, 70,02676
29, 2, 70,58
32, 1, 71,62125
30, 2, 72
33, 1, 73,21978
31, 2, 73,74
34, 1, 74,81179
32, 3, 76
35, 1, 76,40939
33, 3, 77,6
36, 1, 78,00496
34, 2, 78,56
37, 1, 79,60233
35, 2, 79,98
38, 1, 81,19922
36, 2, 81,74
39, 1, 82,79784
37, 3, 83,98
40, 1, 84,39173
38, 3, 85,58
41, 1, 85,98763
39, 2, 86,54
42, 1, 87,58183
40, 2, 87,96
43, 1, 89,18191
41, 2, 89,72
44, 1, 90,7833
42, 3, 91,96
45, 1, 92,37877
43, 3, 93,56
46, 1, 93,97559
44, 2, 94,5
47, 1, 95,5811
45, 2, 95,93999
48, 1, 97,17866
46, 2, 97,7
49, 1, 98,77322
47, 3, 99,96
50, 1, 100,3727
48, 3, 101,56
51, 1, 101,9672
49, 2, 102,5
52, 1, 103,565
50, 2, 103,94
53, 1, 105,1627
51, 2, 105,7
54, 1, 106,7586
52, 3, 107,94
55, 1, 108,3543
53, 3, 109,56
56, 1, 109,9503
54, 2, 110,48
57, 1, 111,5514
55, 2, 111,92
58, 1, 113,1505
56, 2, 113,68
59, 1, 114,7414
57, 3, 115,94
60, 1, 116,3407
58, 3, 117,52
61, 1, 117,9382
59, 2, 118,48
62, 1, 119,5377
60, 2, 119,92
63, 1, 121,1368
61, 2, 121,66
64, 1, 122,7323
62, 3, 123,92
65, 1, 124,3285
63, 3, 125,52
66, 1, 125,922
64, 2, 126,46
67, 1, 127,5202
65, 2, 127,9
68, 1, 129,1182
66, 2, 129,66
69, 1, 130,716
67, 3, 131,9
70, 1, 132,3094
68, 3, 133,5
71, 1, 133,9052
69, 2, 134,46
72, 1, 135,4994
70, 2, 135,88
73, 1, 137,0953
71, 2, 137,62
74, 1, 138,6897
72, 3, 139,9
75, 1, 140,2838
73, 3, 141,48
76, 1, 141,8807
74, 2, 142,42
77, 1, 143,4795
75, 2, 143,86
78, 1, 145,0794
76, 2, 145,6
79, 1, 146,6772
77, 3, 147,86
80, 1, 148,2737
78, 3, 149,46
81, 1, 149,8686
79, 2, 150,42
82, 1, 151,4703
80, 2, 151,84
83, 1, 153,0724
81, 2, 153,58
84, 1, 154,6662
82, 3, 155,86
85, 1, 156,2613
83, 3, 157,48
86, 1, 157,8608
84, 2, 158,4
87, 1, 159,4584
85, 2, 159,82
88, 1, 161,1239
86, 2, 161,58
89, 1, 162,7218
