probandId; condition; beeId; result; startTime; endTime
15;2;0; 1; 15:44:54.020; 15:44:58.036
15;2;1; 1; 15:44:58.071; 15:45:02.459
15;2;2; 1; 15:45:01.879; 15:45:06.055
15;2;3; 1; 15:45:05.498; 15:45:08.614
15;2;4; 1; 15:45:08.939; 15:45:12.099
15;2;5; 1; 15:45:12.200; 15:45:16.653
15;2;6; 2; 15:45:15.147; 15:45:19.416
15;2;7; 1; 15:45:17.953; 15:45:22.452
15;2;8; 1; 15:45:20.756; 15:45:24.698
15;2;9; 1; 15:45:23.414; 15:45:27.636
15;2;10; 1; 15:45:25.940; 15:45:30.472
15;2;10; 2; 15:45:25.940; 15:45:30.472
15;2;11; 1; 15:45:28.340; 15:45:32.271
15;2;12; 2; 15:45:30.619; 15:45:33.857
15;2;13; 1; 15:45:32.785; 15:45:36.896
15;2;14; 1; 15:45:34.952; 15:45:39.353
15;2;15; 2; 15:45:37.008; 15:45:41.040
15;2;16; 1; 15:45:38.963; 15:45:43.195
15;2;17; 1; 15:45:40.918; 15:45:45.328
15;2;18; 2; 15:45:42.772; 15:45:46.032
15;2;19; 1; 15:45:44.536; 15:45:48.690
15;2;20; 1; 15:45:46.300; 15:45:50.734
15;2;21; 1; 15:45:47.976; 15:45:51.951
15;2;22; 1; 15:45:49.653; 15:45:53.818
15;2;23; 1; 15:45:51.248; 15:45:55.739
15;2;24; 2; 15:45:52.767; 15:45:56.834
15;2;25; 1; 15:45:54.288; 15:45:57.570
15;2;26; 1; 15:45:55.728; 15:45:58.888
15;2;27; 1; 15:45:57.169; 15:46:00.374
15;2;28; 1; 15:45:58.532; 15:46:02.753
15;2;29; 1; 15:45:59.895; 15:46:04.372
15;2;30; 2; 15:46:01.258; 15:46:05.277
15;2;31; 2; 15:46:02.553; 15:46:06.797
15;2;31; 1; 15:46:02.553; 15:46:06.797
15;2;32; 2; 15:46:03.849; 15:46:08.371
15;2;33; 2; 15:46:05.088; 15:46:09.254
15;2;34; 2; 15:46:06.329; 15:46:09.612
15;2;35; 1; 15:46:07.501; 15:46:11.656
15;2;36; 1; 15:46:08.675; 15:46:13.119
15;2;37; 2; 15:46:09.844; 15:46:13.153
15;2;38; 1; 15:46:10.964; 15:46:15.118
15;2;40; 2; 15:46:13.142; 15:46:16.415
15;2;39; 1; 15:46:12.080; 15:46:16.557
15;2;41; 1; 15:46:14.203; 15:46:18.458
15;2;42; 1; 15:46:15.264; 15:46:18.658
15;2;43; 1; 15:46:16.269; 15:46:20.456
15;2;44; 1; 15:46:17.274; 15:46:21.775
15;2;45; 1; 15:46:18.280; 15:46:22.233
15;2;46; 2; 15:46:19.241; 15:46:22.490
15;2;47; 1; 15:46:20.202; 15:46:24.389
15;2;48; 2; 15:46:21.162; 15:46:25.695
15;2;49; 1; 15:46:22.123; 15:46:26.153
15;2;50; 2; 15:46:23.083; 15:46:26.377
15;2;51; 1; 15:46:24.044; 15:46:28.019
15;2;52; 2; 15:46:25.004; 15:46:28.296
15;2;53; 1; 15:46:25.964; 15:46:29.952
15;2;54; 1; 15:46:26.925; 15:46:31.370
15;2;55; 1; 15:46:27.886; 15:46:32.152
15;2;56; 2; 15:46:28.846; 15:46:32.331
15;2;57; 2; 15:46:29.807; 15:46:34.396
15;2;58; 2; 15:46:30.768; 15:46:34.854
15;2;59; 1; 15:46:31.728; 15:46:35.958
15;2;60; 1; 15:46:32.688; 15:46:37.279
15;2;60; 2; 15:46:32.688; 15:46:37.279
15;2;61; 2; 15:46:33.650; 15:46:37.691
